sport,city_tier,current_registrations,days_since_open,total_days_available,max_teams,entry_fee,prize_pool,has_sponsor,format,fill_percentage,days_remaining,projected_registrations,fill_rate,label
cricket,3,12,18,18,16,550,4500,0,knockout,75.0,0,11.1,0.691,wont_fill
football,2,11,4,13,16,300,15000,0,knockout,68.8,9,24.0,4.093,oversubscribed
badminton,1,4,9,13,12,2100,23000,0,league+knockout,33.3,4,8.4,0.702,wont_fill
football,1,9,6,6,24,4850,49500,1,knockout,37.5,0,8.4,0.351,wont_fill
basketball,3,8,5,5,10,750,5500,1,league,80.0,0,7.4,0.741,wont_fill
cricket,2,4,1,6,24,1600,12500,0,league+knockout,16.7,5,28.7,1.196,oversubscribed
kabaddi,2,13,4,15,20,1800,23000,1,knockout,65.0,11,30.0,2.925,oversubscribed
basketball,1,0,18,18,4,1850,14500,1,league,0.0,0,0.0,0.0,wont_fill
basketball,1,4,4,13,6,3800,38000,0,league+knockout,66.7,9,9.0,3.33,oversubscribed
cricket,2,3,11,17,8,2500,13500,0,league,37.5,6,7.1,0.891,will_fill
basketball,1,2,2,13,6,3500,2500,0,league,33.3,11,9.0,3.212,oversubscribed
badminton,2,4,2,6,8,1750,20500,0,league+knockout,50.0,4,12.0,1.909,oversubscribed
football,2,10,4,7,20,1350,6000,0,knockout,50.0,3,24.0,1.2,oversubscribed
cricket,2,8,6,7,24,1450,7000,1,knockout,33.3,1,12.2,0.507,wont_fill
volleyball,2,6,10,13,10,1600,16500,0,league+knockout,60.0,3,8.7,0.868,will_fill
volleyball,3,3,12,20,10,1250,6500,0,league,30.0,8,5.0,0.497,wont_fill
football,3,5,6,7,32,600,500,0,knockout,15.6,1,6.0,0.186,wont_fill
kabaddi,2,1,9,14,6,1950,19000,1,knockout,16.7,5,1.8,0.307,wont_fill
cricket,2,6,3,8,8,1650,23000,0,knockout,75.0,5,12.0,3.463,oversubscribed
volleyball,1,6,4,12,10,2200,38000,0,league+knockout,60.0,8,15.0,2.263,oversubscribed
football,3,12,5,5,20,1050,6500,1,knockout,60.0,0,13.6,0.678,wont_fill
badminton,2,11,12,18,20,1350,5000,0,league+knockout,55.0,6,18.3,0.916,will_fill
kabaddi,2,3,4,5,6,700,10000,0,league+knockout,50.0,1,3.8,0.63,wont_fill
basketball,2,6,6,16,12,2150,10000,0,league,50.0,10,18.0,1.519,oversubscribed
cricket,1,7,12,16,16,3950,31000,0,league,43.8,4,14.2,0.887,will_fill
badminton,2,8,18,18,16,2500,8500,0,league+knockout,50.0,0,8.0,0.501,wont_fill
volleyball,2,12,1,13,14,1700,22500,0,knockout,85.7,12,21.0,13.447,oversubscribed
badminton,1,6,17,20,14,3400,4000,0,knockout,42.9,3,9.9,0.71,wont_fill
badminton,2,5,7,20,12,2800,7500,0,knockout,41.7,13,18.0,1.518,oversubscribed
badminton,2,3,3,18,8,2200,20500,0,knockout,37.5,15,12.0,2.99,oversubscribed
football,1,6,1,9,8,4450,32000,0,league+knockout,75.0,8,12.0,10.961,oversubscribed
volleyball,2,10,8,21,20,2950,19000,0,league,50.0,13,29.7,1.486,oversubscribed
volleyball,2,3,7,7,16,1350,13500,0,knockout,18.8,0,2.5,0.156,wont_fill
kabaddi,3,1,5,20,10,200,2500,0,knockout,10.0,15,5.1,0.511,wont_fill
kabaddi,2,5,9,12,12,2150,3000,0,knockout,41.7,3,8.3,0.69,wont_fill
kabaddi,2,2,13,15,10,2000,10000,0,league+knockout,20.0,2,2.5,0.251,wont_fill
football,3,5,14,15,24,1200,1500,0,league+knockout,20.8,1,7.8,0.325,wont_fill
badminton,3,12,6,18,32,1450,8000,0,league,37.5,12,32.7,1.023,will_fill
basketball,2,10,10,18,20,1650,6500,0,league,50.0,8,23.1,1.153,oversubscribed
basketball,2,7,4,14,24,1350,5000,1,knockout,29.2,10,32.6,1.36,oversubscribed
badminton,1,3,15,15,8,2300,39500,1,league,37.5,0,3.2,0.4,wont_fill
basketball,2,4,6,13,32,1800,22500,0,knockout,12.5,7,12.6,0.393,wont_fill
basketball,3,8,4,15,8,100,6500,0,knockout,100.0,11,12.0,4.808,oversubscribed
badminton,2,6,13,20,14,1950,17500,1,league+knockout,42.9,7,12.7,0.904,will_fill
badminton,1,14,6,15,16,900,15000,0,league+knockout,87.5,9,24.0,2.862,oversubscribed
badminton,1,1,11,21,8,3400,48500,0,league+knockout,12.5,10,2.1,0.259,wont_fill
football,3,14,11,13,32,700,3000,0,league,43.8,2,10.9,0.342,wont_fill
kabaddi,3,5,2,5,10,150,9500,0,knockout,50.0,3,14.3,1.425,oversubscribed
kabaddi,2,7,7,13,12,2800,10500,0,knockout,58.3,6,12.8,1.067,will_fill
football,2,12,2,5,20,1250,15500,0,league+knockout,60.0,3,30.0,1.872,oversubscribed
kabaddi,3,3,13,14,12,1450,11500,1,league,25.0,1,4.1,0.341,wont_fill
volleyball,3,10,1,9,16,650,4000,0,league,62.5,8,24.0,4.028,oversubscribed
football,2,4,8,20,8,2100,4500,0,knockout,50.0,12,12.0,1.879,oversubscribed
football,2,3,9,14,20,900,7000,1,league+knockout,15.0,5,3.1,0.157,wont_fill
badminton,3,7,18,19,16,600,9500,1,league+knockout,43.8,1,7.4,0.461,wont_fill
basketball,2,0,11,18,4,1650,9500,0,league+knockout,0.0,7,0.3,0.068,wont_fill
volleyball,2,6,4,20,20,1800,8500,0,knockout,30.0,16,30.0,1.756,oversubscribed
volleyball,1,8,8,17,12,1900,31500,0,league,66.7,9,18.0,2.143,oversubscribed
basketball,3,16,10,17,20,1150,10000,0,league,80.0,7,26.6,1.33,oversubscribed
basketball,2,1,14,16,8,1000,16000,0,knockout,12.5,2,0.6,0.08,wont_fill
cricket,3,6,7,19,20,1500,1000,0,knockout,30.0,12,21.1,1.057,will_fill
cricket,1,5,4,5,14,2350,36000,0,knockout,35.7,1,10.0,0.711,wont_fill
badminton,2,6,9,14,14,650,12000,1,league,42.9,5,11.5,0.825,will_fill
basketball,1,6,7,12,8,850,3000,0,league,75.0,5,12.0,1.684,oversubscribed
cricket,2,2,2,7,14,1350,2500,1,knockout,14.3,5,8.5,0.608,wont_fill
badminton,1,8,8,21,16,2550,31500,0,league+knockout,50.0,13,24.0,1.776,oversubscribed
volleyball,1,1,6,7,12,2250,33500,1,knockout,8.3,1,2.1,0.176,wont_fill
cricket,2,6,6,20,8,1250,21000,1,league,75.0,14,12.0,4.891,oversubscribed
volleyball,1,6,7,10,12,1600,41000,1,knockout,50.0,3,14.7,1.227,oversubscribed
cricket,3,10,4,7,16,650,10500,0,league,62.5,3,21.6,1.349,oversubscribed
cricket,3,4,1,16,20,800,6000,1,league+knockout,20.0,15,30.0,3.465,oversubscribed
basketball,3,1,9,11,4,1200,4500,0,league,25.0,2,1.6,0.404,wont_fill
badminton,3,5,10,13,12,850,4000,1,league,41.7,3,7.0,0.585,wont_fill
badminton,2,1,3,21,8,1500,11500,0,league,12.5,18,7.8,0.98,will_fill
basketball,2,2,1,12,8,2200,16500,0,knockout,25.0,11,12.0,4.139,oversubscribed
kabaddi,3,14,7,12,16,1000,2000,0,league+knockout,87.5,5,19.1,1.191,oversubscribed
kabaddi,2,4,3,9,14,1900,22000,0,league+knockout,28.6,6,10.0,0.713,wont_fill
volleyball,2,2,6,6,6,1800,4500,0,league+knockout,33.3,0,1.9,0.312,wont_fill
badminton,1,11,3,9,16,1650,37500,1,league,68.8,6,24.0,3.108,oversubscribed
kabaddi,2,3,5,5,10,950,24000,0,league+knockout,30.0,0,3.7,0.366,wont_fill
cricket,1,20,1,6,32,550,44500,0,league,62.5,5,48.0,8.664,oversubscribed
kabaddi,3,11,8,12,14,950,6500,1,league+knockout,78.6,4,17.0,1.213,oversubscribed
volleyball,2,6,6,10,8,850,18500,0,knockout,75.0,4,12.0,1.724,oversubscribed
badminton,3,24,13,15,32,1400,3500,0,league,75.0,2,27.5,0.86,will_fill
basketball,1,9,5,16,14,4900,38500,0,league,64.3,11,21.0,3.06,oversubscribed
badminton,2,3,3,5,32,350,18500,1,league+knockout,9.4,2,5.9,0.186,wont_fill
football,2,1,6,10,10,1250,5500,1,knockout,10.0,4,3.6,0.36,wont_fill
badminton,3,9,17,21,24,950,1000,0,knockout,37.5,4,12.2,0.509,wont_fill
cricket,2,27,7,7,32,1950,18500,0,knockout,84.4,0,25.6,0.799,wont_fill
volleyball,2,8,4,15,14,450,14000,0,league,57.1,11,21.0,2.461,oversubscribed
cricket,2,11,8,12,32,2800,17000,0,league+knockout,34.4,4,21.5,0.671,wont_fill
kabaddi,3,2,1,11,32,700,2500,1,league+knockout,6.2,10,15.0,0.469,wont_fill
badminton,1,6,7,8,16,1600,37500,0,league+knockout,37.5,1,7.8,0.486,wont_fill
badminton,2,15,12,17,20,2950,15500,1,league+knockout,75.0,5,23.6,1.182,oversubscribed
football,3,4,5,13,8,500,11000,0,league,50.0,8,12.0,1.661,oversubscribed
volleyball,1,11,5,21,20,3000,39500,0,knockout,55.0,16,30.0,3.661,oversubscribed
cricket,1,1,2,8,10,2600,48000,1,league,10.0,6,8.1,0.812,wont_fill
kabaddi,3,2,4,18,8,650,1000,0,knockout,25.0,14,7.4,0.92,will_fill
football,3,15,1,5,24,800,10500,0,league,62.5,4,36.0,3.628,oversubscribed
badminton,3,3,9,9,16,500,11500,0,knockout,18.8,0,3.5,0.217,wont_fill
cricket,3,9,1,13,16,1150,9500,1,knockout,56.2,12,24.0,10.404,oversubscribed
kabaddi,3,5,4,18,20,500,6500,0,league,25.0,14,18.9,0.945,will_fill
cricket,2,4,3,14,8,1150,20500,0,league+knockout,50.0,11,12.0,3.489,oversubscribed
basketball,3,2,12,12,8,400,500,0,league+knockout,25.0,0,1.7,0.216,wont_fill
football,1,14,11,11,32,4400,38000,0,league,43.8,0,10.3,0.321,wont_fill
cricket,2,10,11,11,24,1850,19000,0,knockout,41.7,0,9.7,0.405,wont_fill
volleyball,2,3,7,7,14,1950,11000,0,knockout,21.4,0,1.2,0.085,wont_fill
football,2,5,4,20,8,1750,3000,0,knockout,62.5,16,12.0,4.67,oversubscribed
cricket,3,1,3,9,8,1150,8000,1,league+knockout,12.5,6,3.2,0.402,wont_fill
kabaddi,1,4,13,17,8,4750,10000,0,knockout,50.0,4,7.3,0.91,will_fill
badminton,1,3,6,7,8,3050,12500,0,knockout,37.5,1,5.1,0.638,wont_fill
football,2,0,5,10,8,2050,6500,0,league,0.0,5,0.1,0.018,wont_fill
volleyball,3,3,13,18,12,1300,500,0,league+knockout,25.0,5,2.7,0.221,wont_fill
volleyball,1,8,3,12,16,2350,13500,0,league,50.0,9,24.0,2.339,oversubscribed
kabaddi,3,3,4,15,8,250,9000,0,knockout,37.5,11,12.0,1.506,oversubscribed
cricket,1,3,15,16,24,4550,13000,0,league,12.5,1,3.3,0.136,wont_fill
football,3,1,6,18,8,1250,8500,0,knockout,12.5,12,3.6,0.455,wont_fill
kabaddi,1,9,8,8,20,3600,34000,0,league+knockout,45.0,0,11.0,0.552,wont_fill
football,3,2,18,19,16,1400,2500,0,league,12.5,1,2.3,0.145,wont_fill
basketball,3,10,10,12,14,1250,10000,0,knockout,71.4,2,14.7,1.048,will_fill
cricket,1,0,2,21,6,1600,41500,0,league,0.0,19,0.0,0.0,wont_fill
volleyball,3,13,3,19,20,200,1500,0,league,65.0,16,30.0,3.063,oversubscribed
basketball,3,11,6,7,16,1350,7000,1,league+knockout,68.8,1,16.8,1.052,will_fill
football,3,3,2,6,16,1400,7500,0,league+knockout,18.8,4,11.2,0.697,wont_fill
volleyball,1,1,1,14,8,1000,21500,0,knockout,12.5,13,12.0,3.411,oversubscribed
badminton,3,6,15,15,24,1150,5000,0,league,25.0,0,9.9,0.413,wont_fill
badminton,2,3,11,14,12,1800,9000,0,league+knockout,25.0,3,4.2,0.352,wont_fill
cricket,3,6,6,10,16,500,6000,0,league,37.5,4,12.0,0.747,wont_fill
volleyball,3,11,6,13,20,900,10000,1,knockout,55.0,7,24.1,1.204,oversubscribed
kabaddi,3,3,7,16,10,350,1000,1,league,30.0,9,6.0,0.601,wont_fill
badminton,1,3,8,18,8,4500,34000,1,league+knockout,37.5,10,8.7,1.084,will_fill
football,3,3,1,14,4,900,7500,0,league,75.0,13,6.0,12.275,oversubscribed
volleyball,2,2,2,13,8,2500,17000,0,league+knockout,25.0,11,11.8,1.471,oversubscribed
cricket,1,7,9,17,12,2750,27000,0,league,58.3,8,18.0,1.963,oversubscribed
kabaddi,2,7,1,6,8,850,2000,0,league+knockout,87.5,5,12.0,4.37,oversubscribed
cricket,2,14,2,7,24,1200,13000,1,knockout,58.3,5,36.0,3.441,oversubscribed
cricket,2,1,7,18,8,1150,15000,1,league,12.5,11,4.8,0.598,wont_fill
kabaddi,1,8,5,14,24,2600,21000,1,league,33.3,9,31.2,1.3,oversubscribed
football,2,9,5,21,12,850,1500,1,knockout,75.0,16,18.0,5.285,oversubscribed
football,2,4,6,6,16,650,21000,1,knockout,25.0,0,3.7,0.231,wont_fill
volleyball,3,4,5,5,8,1200,4000,0,knockout,50.0,0,3.8,0.472,wont_fill
volleyball,2,4,13,21,8,550,10500,0,league+knockout,50.0,8,7.9,0.985,will_fill
cricket,1,4,11,11,8,2200,18500,0,knockout,50.0,0,3.2,0.4,wont_fill
kabaddi,1,7,11,14,8,2450,36500,0,league,87.5,3,11.2,1.397,oversubscribed
kabaddi,2,15,3,14,24,1250,17500,0,knockout,62.5,11,36.0,3.203,oversubscribed
badminton,2,1,3,10,4,1550,16500,0,league,25.0,7,4.2,1.056,will_fill
basketball,1,15,10,14,16,3750,5000,1,league+knockout,93.8,4,24.0,1.813,oversubscribed
cricket,1,21,11,18,24,3400,14500,0,knockout,87.5,7,36.0,2.607,oversubscribed
kabaddi,2,6,1,8,32,1450,13500,0,league,18.8,7,44.7,1.398,oversubscribed
badminton,3,3,11,21,12,1100,500,0,league+knockout,25.0,10,4.3,0.361,wont_fill
basketball,1,10,5,14,16,1750,16500,1,league,62.5,9,24.0,2.778,oversubscribed
volleyball,2,3,18,20,12,2450,4000,0,knockout,25.0,2,2.3,0.19,wont_fill
volleyball,2,17,6,12,20,2650,10500,1,league+knockout,85.0,6,30.0,1.702,oversubscribed
volleyball,1,4,11,17,8,4700,5000,0,league,50.0,6,8.1,1.011,will_fill
football,1,9,6,17,14,2450,17500,0,league+knockout,64.3,11,21.0,2.929,oversubscribed
volleyball,2,2,14,18,8,1150,14500,1,league,25.0,4,4.2,0.527,wont_fill
cricket,1,7,4,19,14,2200,40000,1,league,50.0,15,21.0,5.386,oversubscribed
volleyball,2,4,5,5,14,1300,8500,0,league+knockout,28.6,0,4.1,0.296,wont_fill
basketball,1,6,8,12,12,750,4000,0,league+knockout,50.0,4,12.1,1.01,will_fill
football,2,0,4,21,4,500,16000,0,league,0.0,17,0.5,0.132,wont_fill
volleyball,3,9,4,7,20,1200,10500,1,knockout,45.0,3,18.3,0.913,will_fill
kabaddi,2,8,1,17,20,2950,17000,1,league+knockout,40.0,16,30.0,6.104,oversubscribed
football,2,6,5,18,8,1550,6000,0,league,75.0,13,12.0,3.553,oversubscribed
kabaddi,2,19,2,8,24,800,22500,0,knockout,79.2,6,36.0,3.322,oversubscribed
kabaddi,2,9,7,9,12,1650,18000,0,league+knockout,75.0,2,11.2,0.93,will_fill
volleyball,1,7,5,18,16,4450,43000,1,knockout,43.8,13,24.0,2.494,oversubscribed
kabaddi,3,8,6,7,12,450,10500,1,league+knockout,66.7,1,8.1,0.671,wont_fill
badminton,2,5,6,6,6,2600,10000,0,league,83.3,0,5.6,0.938,will_fill
kabaddi,2,9,4,8,24,900,14500,0,knockout,37.5,4,18.7,0.778,wont_fill
badminton,1,5,2,12,32,4400,11000,0,league,15.6,10,36.2,1.131,will_fill
basketball,1,8,14,18,20,3000,18000,0,knockout,40.0,4,14.9,0.743,wont_fill
kabaddi,3,0,7,15,4,950,6500,0,league+knockout,0.0,8,0.8,0.208,wont_fill
basketball,1,6,2,8,8,4050,3000,0,league,75.0,6,12.0,4.095,oversubscribed
basketball,3,16,5,7,16,250,7000,0,league+knockout,100.0,2,24.0,1.648,oversubscribed
cricket,2,4,16,21,8,1250,2000,0,league+knockout,50.0,5,6.6,0.823,will_fill
football,3,5,2,13,10,650,9000,0,league+knockout,50.0,11,15.0,2.999,oversubscribed
volleyball,2,1,9,17,4,1750,8000,1,knockout,25.0,8,3.1,0.766,wont_fill
volleyball,2,29,4,19,32,450,11000,0,knockout,90.6,15,48.0,5.198,oversubscribed
kabaddi,2,5,1,7,24,2750,20000,0,league+knockout,20.8,6,28.4,1.185,oversubscribed
basketball,2,14,3,18,32,2750,8000,1,league,43.8,15,48.0,3.279,oversubscribed
badminton,2,9,8,17,32,2250,9000,1,league,28.1,9,21.9,0.683,wont_fill
kabaddi,3,0,3,10,8,1200,5500,0,knockout,0.0,7,0.0,0.0,wont_fill
basketball,1,15,3,15,24,700,7000,0,knockout,62.5,12,36.0,5.293,oversubscribed
football,2,18,6,15,32,2250,17000,1,league,56.2,9,48.0,2.027,oversubscribed
badminton,1,4,5,5,8,4100,7000,0,league+knockout,50.0,0,4.4,0.553,wont_fill
cricket,1,2,2,6,16,2050,6000,1,league,12.5,4,13.5,0.846,will_fill
volleyball,3,2,4,11,6,1000,4000,0,league,33.3,7,4.0,0.66,wont_fill
football,3,9,2,11,12,950,5500,0,league,75.0,9,18.0,3.952,oversubscribed
basketball,2,22,6,10,32,2750,9500,0,league,68.8,4,40.1,1.253,oversubscribed
volleyball,2,15,13,13,20,1250,6500,1,league,75.0,0,16.5,0.825,will_fill
kabaddi,1,6,8,19,32,4500,25000,1,league+knockout,18.8,11,13.8,0.432,wont_fill
volleyball,1,2,8,10,16,1850,22000,1,league,12.5,2,5.7,0.353,wont_fill
football,1,4,7,14,12,3950,43500,0,league+knockout,33.3,7,13.4,1.118,will_fill
football,2,19,4,9,20,2200,14500,0,league+knockout,95.0,5,30.0,2.275,oversubscribed
volleyball,2,3,12,14,10,700,22000,0,league,30.0,2,4.0,0.405,wont_fill
volleyball,2,8,14,14,12,450,5500,0,league,66.7,0,6.9,0.573,wont_fill
badminton,3,0,2,9,8,350,6000,1,knockout,0.0,7,0.3,0.034,wont_fill
volleyball,2,3,12,15,4,2550,8500,0,league,75.0,3,4.5,1.114,will_fill
basketball,1,2,13,14,16,1500,44500,0,knockout,12.5,1,4.3,0.27,wont_fill
basketball,2,3,16,16,6,2300,1000,0,league,50.0,0,2.7,0.445,wont_fill
volleyball,2,8,6,14,16,2900,21500,0,knockout,50.0,8,23.5,1.467,oversubscribed
badminton,3,7,10,15,16,700,1000,0,league,43.8,5,11.6,0.727,wont_fill
badminton,1,5,6,8,6,4550,36500,0,league,83.3,2,9.0,1.505,oversubscribed
badminton,2,5,7,14,24,1300,19500,1,league,20.8,7,12.0,0.499,wont_fill
cricket,3,6,1,8,8,650,10000,1,league+knockout,75.0,7,12.0,7.715,oversubscribed
volleyball,2,1,10,12,8,750,7500,0,knockout,12.5,2,2.1,0.268,wont_fill
kabaddi,2,17,4,5,32,800,17000,0,league,53.1,1,25.2,0.786,wont_fill
kabaddi,2,9,1,20,12,1650,20500,0,league+knockout,75.0,19,18.0,13.505,oversubscribed
football,2,7,5,10,24,650,12500,0,knockout,29.2,5,20.7,0.861,will_fill
kabaddi,3,8,12,14,14,1050,4000,1,knockout,57.1,2,11.0,0.788,wont_fill
volleyball,3,3,10,14,12,550,7000,0,league,25.0,4,5.6,0.47,wont_fill
kabaddi,3,2,13,17,8,500,10000,0,league,25.0,4,4.1,0.518,wont_fill
badminton,3,4,2,5,8,700,7000,0,league,50.0,3,9.9,1.237,oversubscribed
badminton,2,8,17,20,16,1350,11500,0,knockout,50.0,3,11.0,0.689,wont_fill
kabaddi,3,11,2,6,16,1300,1000,0,knockout,68.8,4,24.0,1.676,oversubscribed
volleyball,2,0,17,18,4,1400,6500,0,knockout,0.0,1,0.1,0.027,wont_fill
basketball,2,0,9,14,10,2450,18000,0,league,0.0,5,0.7,0.071,wont_fill
volleyball,2,16,2,7,20,1100,20000,0,knockout,80.0,5,30.0,3.144,oversubscribed
football,2,8,9,13,12,1800,12500,0,league+knockout,66.7,4,16.0,1.329,oversubscribed
basketball,1,7,9,9,8,1250,8500,0,league+knockout,87.5,0,6.6,0.82,will_fill
badminton,2,1,16,21,8,2050,16000,1,league,12.5,5,1.3,0.161,wont_fill
volleyball,3,3,21,21,16,550,10500,0,league,18.8,0,4.3,0.268,wont_fill
volleyball,2,9,13,15,12,1500,12500,1,league,75.0,2,11.3,0.945,will_fill
volleyball,1,7,9,19,20,4350,4500,0,league,35.0,10,16.9,0.845,will_fill
volleyball,2,18,4,15,20,2550,21000,0,league,90.0,11,30.0,3.384,oversubscribed
badminton,2,1,2,11,12,1700,3500,1,league+knockout,8.3,9,5.5,0.458,wont_fill
basketball,1,4,7,13,8,4600,6500,1,league+knockout,50.0,6,10.8,1.35,oversubscribed
volleyball,3,6,12,18,14,550,2500,0,knockout,42.9,6,10.0,0.716,wont_fill
cricket,3,14,3,21,20,950,5500,1,league,70.0,18,30.0,5.493,oversubscribed
kabaddi,1,3,5,14,16,3200,42500,0,knockout,18.8,9,13.8,0.86,will_fill
basketball,2,8,4,5,16,1850,7500,1,knockout,50.0,1,15.6,0.973,will_fill
kabaddi,1,4,9,10,16,3450,28000,0,knockout,25.0,1,6.3,0.394,wont_fill
cricket,3,5,3,7,8,1450,1000,1,knockout,62.5,4,12.0,2.062,oversubscribed
badminton,1,2,8,8,6,1300,30000,0,league,33.3,0,1.7,0.291,wont_fill
volleyball,1,4,15,21,14,3000,26500,1,league,28.6,6,7.0,0.5,wont_fill
football,2,0,8,10,6,2300,3500,0,knockout,0.0,2,0.1,0.017,wont_fill
kabaddi,2,1,5,6,4,600,15000,1,league+knockout,25.0,1,1.6,0.407,wont_fill
kabaddi,2,0,6,11,6,2300,7500,1,league,0.0,5,0.4,0.072,wont_fill
cricket,1,4,18,19,16,1450,38500,0,league,25.0,1,4.7,0.293,wont_fill
badminton,3,8,1,11,24,350,3000,1,knockout,33.3,10,36.0,3.68,oversubscribed
cricket,2,20,4,10,32,1100,1500,0,league,62.5,6,48.0,1.868,oversubscribed
volleyball,3,15,9,11,16,1300,4500,1,league+knockout,93.8,2,19.7,1.233,oversubscribed
cricket,2,21,5,5,32,1100,16500,1,league+knockout,65.6,0,19.2,0.599,wont_fill
badminton,2,7,6,10,12,950,14500,0,league,58.3,4,13.6,1.135,will_fill
volleyball,1,11,10,10,32,3550,33000,1,league+knockout,34.4,0,14.9,0.466,wont_fill
volleyball,3,3,1,8,10,750,4000,0,knockout,30.0,7,15.0,2.092,oversubscribed
volleyball,3,2,7,21,12,500,3000,0,league,16.7,14,5.5,0.46,wont_fill
football,2,6,19,21,16,550,11500,0,league,37.5,2,9.2,0.576,wont_fill
badminton,3,7,10,15,8,1050,12000,0,league,87.5,5,11.8,1.47,oversubscribed
volleyball,3,3,1,14,16,1100,9500,1,knockout,18.8,13,24.0,2.346,oversubscribed
volleyball,2,5,2,9,32,2750,6000,0,knockout,15.6,7,22.3,0.697,wont_fill
basketball,2,3,5,11,8,1100,12500,0,league,37.5,6,7.9,0.992,will_fill
football,3,0,2,10,4,850,8500,1,league,0.0,8,0.0,0.0,wont_fill
volleyball,2,12,9,18,32,650,9000,1,knockout,37.5,9,30.9,0.966,will_fill
badminton,3,4,4,18,6,1350,5000,0,league,66.7,14,9.0,2.425,oversubscribed
badminton,1,14,2,7,32,1700,32000,0,knockout,43.8,5,48.0,2.425,oversubscribed
basketball,1,6,1,5,16,600,44500,0,league,37.5,4,24.0,4.263,oversubscribed
badminton,2,19,14,18,32,2050,14500,0,league,59.4,4,28.5,0.891,will_fill
basketball,2,5,12,12,20,800,18000,0,knockout,25.0,0,5.0,0.249,wont_fill
basketball,1,1,14,18,12,1150,33500,1,league,8.3,4,2.8,0.229,wont_fill
basketball,3,20,5,16,32,900,3000,1,league+knockout,62.5,11,48.0,1.622,oversubscribed
kabaddi,3,6,9,15,16,200,8000,0,knockout,37.5,6,11.7,0.729,wont_fill
basketball,1,3,2,9,8,2000,35500,1,league+knockout,37.5,7,12.0,2.953,oversubscribed
volleyball,2,10,9,13,14,400,4000,0,league,71.4,4,16.1,1.149,will_fill
cricket,3,11,5,18,16,900,7500,1,league+knockout,68.8,13,24.0,2.728,oversubscribed
badminton,3,9,2,19,24,1100,8000,0,league,37.5,17,36.0,2.78,oversubscribed
basketball,1,8,12,15,10,3800,24500,0,league,80.0,3,14.2,1.425,oversubscribed
football,3,4,2,8,10,550,7500,0,league+knockout,40.0,6,15.0,1.576,oversubscribed
football,1,10,1,6,24,3300,8500,1,knockout,41.7,5,36.0,5.129,oversubscribed
kabaddi,1,3,5,10,16,3050,30500,1,knockout,18.8,5,7.5,0.467,wont_fill
badminton,1,11,8,21,24,950,29500,0,league+knockout,45.8,13,36.0,1.828,oversubscribed
cricket,1,10,2,8,16,4750,41500,1,league,62.5,6,24.0,4.942,oversubscribed
football,1,2,6,12,8,3950,7000,0,knockout,25.0,6,7.0,0.873,will_fill
cricket,1,4,12,20,12,4450,12500,0,knockout,33.3,8,12.8,1.07,will_fill
kabaddi,2,3,4,10,8,400,12500,1,knockout,37.5,6,10.8,1.354,oversubscribed
volleyball,2,15,9,14,24,600,24500,0,knockout,62.5,5,28.6,1.192,oversubscribed
cricket,3,7,4,5,20,200,10000,0,league+knockout,35.0,1,9.9,0.493,wont_fill
cricket,3,3,9,14,16,1150,7500,0,knockout,18.8,5,6.6,0.415,wont_fill
volleyball,2,4,19,21,16,1450,21500,1,knockout,25.0,2,5.9,0.37,wont_fill
kabaddi,2,3,1,6,6,1900,5000,1,knockout,50.0,5,9.0,3.625,oversubscribed
badminton,3,5,1,6,8,450,1500,1,league,62.5,5,12.0,3.375,oversubscribed
football,2,3,10,10,8,2050,23000,0,league+knockout,37.5,0,3.1,0.387,wont_fill
kabaddi,2,5,15,18,10,1800,17000,1,league+knockout,50.0,3,7.2,0.72,wont_fill
badminton,1,8,2,8,16,1350,25500,0,league,50.0,6,24.0,2.779,oversubscribed
basketball,2,11,3,21,20,650,5000,1,knockout,55.0,18,30.0,5.688,oversubscribed
badminton,2,5,5,5,10,1650,18000,0,league,50.0,0,5.1,0.509,wont_fill
football,3,13,3,15,16,1300,1000,1,league,81.2,12,24.0,3.964,oversubscribed
badminton,2,10,9,21,16,2300,21500,0,league,62.5,12,24.0,1.802,oversubscribed
cricket,2,2,5,19,6,2100,17500,1,knockout,33.3,14,9.0,2.565,oversubscribed
football,3,7,5,11,12,550,10500,1,league+knockout,58.3,6,16.4,1.365,oversubscribed
kabaddi,2,3,16,17,14,2000,19500,0,knockout,21.4,1,2.9,0.206,wont_fill
football,3,3,15,19,10,550,1500,0,knockout,30.0,4,4.4,0.443,wont_fill
badminton,3,9,15,17,10,850,500,0,league+knockout,90.0,2,9.6,0.964,will_fill
badminton,3,6,5,19,12,800,7000,0,league+knockout,50.0,14,18.0,1.637,oversubscribed
kabaddi,2,7,1,9,12,1050,24000,1,knockout,58.3,8,18.0,7.425,oversubscribed
basketball,1,14,14,16,32,1150,4500,0,knockout,43.8,2,28.0,0.876,will_fill
volleyball,2,2,13,15,14,2750,3000,1,league+knockout,14.3,2,2.8,0.202,wont_fill
cricket,3,4,10,12,12,1200,6000,0,knockout,33.3,2,6.4,0.534,wont_fill
badminton,1,9,1,21,16,1500,38000,0,knockout,56.2,20,24.0,23.005,oversubscribed
football,3,0,14,21,10,450,500,0,knockout,0.0,7,0.0,0.0,wont_fill
cricket,2,1,4,13,14,2200,10000,1,league,7.1,9,5.5,0.393,wont_fill
football,3,14,6,12,24,450,8000,0,league,58.3,6,27.5,1.144,will_fill
